name,url,url-href,price_min,price_max,screen_size_cm,chipset,series,cpu,operating_system,ssd,memory,resolution,cpu_speed,memory_type
"삼성전자 노트북9 metal NT900X3M-K58WS","삼성전자 노트북9 metal NT900X3M-K58WS","http://shopping.naver.com/detail/detail.nhn?nv_mid=10267172389&cat_id=50000151&frm=NVSHCHK&query=","1,294,440","1,821,380","33.7","인텔","코어 i5","CPU : i5-7200U(카비레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : LPDDR3"
"애플 맥북에어 MMGG2KH/A","애플 맥북에어 MMGG2KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=9881772565&cat_id=50000151&frm=NVSHCHK&query=","1,223,700","1,885,700","33.78","인텔","코어 i5","null","운영체제 : Mac OS X E1 Capitan","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1440x900","CPU속도 : 1.6GHz","메모리 타입 : LPDDR3"
"HP 스펙터 13-v026TU","HP 스펙터 13-v026TU","http://shopping.naver.com/detail/detail.nhn?nv_mid=9974061751&cat_id=50000151&frm=NVSHCHK&query=","1,393,360","1,659,840","33.78","인텔","코어 i7","CPU : i7-6500U(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북5 NT500R5P-ZD7S","삼성전자 노트북5 NT500R5P-ZD7S","http://shopping.naver.com/detail/detail.nhn?nv_mid=10052926880&cat_id=50000151&frm=NVSHCHK&query=","1,080,100","1,599,000","39.6","인텔","코어 i7","CPU : i7-6500U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : DDR4"
"에이수스 ROG GL502VS-FY007T","에이수스 ROG GL502VS-FY007T","http://shopping.naver.com/detail/detail.nhn?nv_mid=10224605979&cat_id=50000151&frm=NVSHCHK&query=","2,297,210","2,551,360","39.62","인텔","코어 i7","CPU : i7-6700HQ(스카이레이크)","운영체제 : 윈도우10","null","메모리 용량 : 16GB","해상도 : 1920x1080","CPU속도 : 2.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북9 metal NT900X5L-K24P","삼성전자 노트북9 metal NT900X5L-K24P","http://shopping.naver.com/detail/detail.nhn?nv_mid=9258683327&cat_id=50000151&frm=NVSHCHK&query=","853,390","1,948,000","38.1","인텔","펜티엄 듀얼-코어","CPU : 4405U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.1GHz","메모리 타입 : DDR3"
"삼성전자 노트북9 metal NT900X3M-K78S","삼성전자 노트북9 metal NT900X3M-K78S","http://shopping.naver.com/detail/detail.nhn?nv_mid=10266811079&cat_id=50000151&frm=NVSHCHK&query=","1,498,000","1,999,000","33.7","인텔","코어 i7","CPU : i7-7500U(카비레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.7GHz","메모리 타입 : LPDDR3"
"MSI GL62 6QE-i5","MSI GL62 6QE-i5","http://shopping.naver.com/detail/detail.nhn?nv_mid=9685223331&cat_id=50000151&frm=NVSHCHK&query=","999,000","null","39.62","인텔","코어 i5","CPU : i5-6300HQ(스카이레이크)","운영체제 : 미포함","null","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR4"
"엘지전자 울트라 PC 15UD340-LX30K","엘지전자 울트라 PC 15UD340-LX30K","http://shopping.naver.com/detail/detail.nhn?nv_mid=8198728656&cat_id=50000151&frm=NVSHCHK&query=","475,000","708,760","39.6","인텔","팬티엄 쿼드-코어","CPU : N3540","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.16GHz","메모리 타입 : DDR3L"
"애플 맥북프로 ME864KH/A","애플 맥북프로 ME864KH/A","http://shopping.naver.com/detail/detail.nhn?nv_mid=7292582022&cat_id=50000151&frm=NVSHCHK&query=","1,000,000","2,722,980","13.3","인텔","코어 i5","CPU : i5-4258U","운영체제 : Mac OS X Mavericks","SSD : 128GB","메모리 용량 : 4GB","해상도 : 2560x1600","CPU속도 : 2.4GHz","메모리 타입 : DDR3L"
